,Course,Number,"Type of
mark",Mean,SD,"Max.
mark","P
99","P
90","P
75","P
50","P
25"
79,Software Design & Development,,scaled,26.8,11.0,50.0,46.8,41.4,35.4,27.5,18.6
80,Studies of Religion I,"8,169",HSC,38.8,5.4,50.0,48.0,46.0,43.0,39.0,35.0
81,Studies of Religion I,,scaled,27.7,9.3,48.8,45.2,39.9,34.8,28.1,20.8
82,Studies of Religion II,"6,731",HSC,38.9,5.4,49.5,48.0,45.0,43.0,39.5,36.0
83,Studies of Religion II,,scaled,27.3,10.3,50.0,46.0,40.5,35.4,28.1,19.7
84,Textiles & Design,"1,482",HSC,38.9,5.6,49.0,48.0,46.0,43.5,39.5,35.0
85,Textiles & Design,,scaled,22.8,11.2,48.5,45.6,38.3,31.5,22.4,13.8
86,Visual Arts,"9,047",HSC,40.9,3.9,50.0,48.0,45.5,44.0,41.5,38.5
87,Visual Arts,,scaled,21.7,11.2,48.7,45.3,37.4,30.1,21.1,12.6
88,Arabic Continuers,232,HSC,40.6,5.0,49.0,48.0,46.0,44.0,41.0,38.5
89,Arabic Continuers,,scaled,17.5,11.3,44.9,42.6,34.4,25.0,15.5,8.8
90,Arabic Extension,53,HSC,42.9,3.7,49.0,49.0,47.0,46.0,43.0,41.0
91,Arabic Extension,,scaled,25.7,6.8,41.6,41.6,33.7,32.1,25.3,21.3
92,Armenian Continuers,20,HSC,40.5,3.7,46.5,,,,,
93,Armenian Continuers,,scaled,29.4,12.0,50.0,,,,,
94,Chinese Beginners,56,HSC,39.3,8.7,49.5,49.5,48.5,47.5,42.0,32.0
95,Chinese Beginners,,scaled,23.8,12.2,48.1,48.1,39.0,34.7,23.3,14.2
96,Chinese Continuers,334,HSC,43.5,5.0,49.5,49.5,48.5,47.5,45.5,40.5
97,Chinese Continuers,,scaled,32.8,9.6,50.0,48.6,43.5,40.2,35.0,26.0
98,Chinese Extension,106,HSC,44.6,3.5,49.0,49.0,48.0,47.0,46.0,43.0
99,Chinese Extension,,scaled,37.3,5.4,50.0,48.3,44.4,41.2,37.5,33.6
100,Chinese & Literature,305,HSC,42.2,3.3,48.5,47.5,46.0,44.5,42.5,40.5
101,Chinese & Literature,,scaled,24.0,10.6,49.2,45.5,38.6,31.7,24.0,15.5
102,Chinese in Context,110,HSC,45.2,2.9,49.5,49.5,48.0,47.0,45.5,44.5
103,Chinese in Context,,scaled,31.5,9.7,50.0,49.3,42.7,38.5,31.9,25.9
104,Classical Hebrew Continuers,19,HSC,43.1,4.9,48.0,,,,,
105,Classical Hebrew Continuers,,scaled,34.1,9.3,49.0,,,,,
106,Filipino Continuers,10,HSC,44.6,2.8,47.5,,,,,
107,Filipino Continuers,,scaled,20.9,12.4,39.7,,,,,
108,French Beginners,341,HSC,38.2,7.0,48.5,48.0,46.5,44.0,39.0,34.5
109,French Beginners,,scaled,24.7,11.0,49.2,47.0,40.1,33.2,24.0,16.8
110,French Continuers,520,HSC,41.2,4.6,49.5,49.0,47.0,45.0,41.5,38.0
111,French Continuers,,scaled,34.4,8.0,50.0,48.0,44.2,40.5,35.4,29.7
112,French Extension,104,HSC,40.3,4.7,48.0,48.0,46.0,44.0,40.0,37.0
113,French Extension,,scaled,38.9,6.2,50.0,50.0,47.0,43.3,38.5,34.5
114,German Beginners,102,HSC,41.1,5.1,50.0,49.5,48.0,45.5,41.0,37.5
115,German Beginners,,scaled,29.2,9.9,50.0,49.2,42.5,35.9,29.0,21.9
116,German Continuers,173,HSC,41.1,4.8,49.5,49.0,47.5,45.5,41.0,38.0
117,German Continuers,,scaled,33.7,9.0,50.0,48.9,45.1,41.1,34.2,28.5
118,German Extension,55,HSC,44.7,3.6,50.0,50.0,49.0,48.0,45.0,43.0
119,German Extension,,scaled,38.4,6.9,50.0,50.0,46.7,44.7,37.9,34.9
120,Hindi Continuers,32,HSC,42.2,4.4,46.5,,,,,
121,Hindi Continuers,,scaled,23.9,13.5,50.0,,,,,
122,Indonesian Beginners,27,HSC,41.5,4.6,49.0,,,,,
123,Indonesian Beginners,,scaled,26.0,11.4,50.0,,,,,
124,Indonesian Continuers,50,HSC,43.9,4.4,49.0,49.0,48.5,47.0,45.0,42.0
125,Indonesian Continuers,,scaled,30.9,10.2,50.0,50.0,46.3,36.9,29.9,23.8
126,Indonesian Extension,14,HSC,40.2,7.1,47.0,,,,,
127,Indonesian Extension,,scaled,32.8,11.7,50.0,,,,,
128,Italian Beginners,294,HSC,38.8,7.2,50.0,49.5,47.5,45.0,39.5,33.5
129,Italian Beginners,,scaled,28.3,10.5,50.0,48.1,41.9,36.4,28.9,19.9
130,Italian Continuers,191,HSC,41.7,4.7,49.0,49.0,47.0,44.5,43.0,39.0
131,Italian Continuers,,scaled,32.2,9.9,50.0,49.6,45.0,38.8,33.9,24.9
132,Italian Extension,48,HSC,44.1,3.2,49.0,49.0,48.0,46.0,45.0,41.0
133,Italian Extension,,scaled,39.5,4.6,50.0,50.0,47.1,41.4,39.3,36.0
134,Japanese Beginners,357,HSC,35.6,8.8,49.5,47.5,45.5,42.5,37.0,31.0
135,Japanese Beginners,,scaled,24.1,11.7,48.8,44.2,40.1,33.5,24.8,14.9
136,Japanese Continuers,794,HSC,39.7,6.2,50.0,49.0,47.0,44.5,40.5,36.0
137,Japanese Continuers,,scaled,30.8,9.6,50.0,47.6,42.4,38.1,32.1,25.1
138,Japanese Extension,134,HSC,43.6,4.1,49.0,49.0,48.0,47.0,45.0,42.0
