,Course,Number,"Type of
mark",Mean,SD,"Max.
mark","P
99","P
90","P
75","P
50","P
25"
115,German Beginners,,scaled,25.0,10.8,49.1,49.1,41.1,33.1,24.2,16.9
116,German Continuers,143,HSC,40.5,5.3,49.5,49.0,47.0,45.0,40.5,37.5
117,German Continuers,,scaled,34.4,8.6,50.0,48.5,44.9,40.8,34.9,29.9
118,German Extension,37,HSC,44.2,4.2,50.0,,,,,
119,German Extension,,scaled,39.0,5.8,50.0,,,,,
120,Hindi Continuers,32,HSC,42.2,4.4,46.5,,,,,
121,Hindi Continuers,,scaled,23.9,13.5,50.0,,,,,
122,Indonesian Beginners,27,HSC,41.5,4.6,49.0,,,,,
123,Indonesian Beginners,,scaled,26.0,11.4,50.0,,,,,
124,Indonesian Continuers,45,HSC,42.3,5.1,49.0,49.0,47.5,46.0,43.5,39.5
125,Indonesian Continuers,,scaled,31.9,10.2,50.0,50.0,44.0,39.4,32.6,24.6
126,Indonesian Extension,14,HSC,40.2,7.1,47.0,,,,,
127,Indonesian Extension,,scaled,32.8,11.7,50.0,,,,,
128,Italian Beginners,282,HSC,38.5,7.1,50.0,49.5,47.5,44.5,39.0,34.0
129,Italian Beginners,,scaled,25.6,10.9,48.7,46.6,40.5,34.5,25.3,17.7
130,Italian Continuers,181,HSC,40.4,4.7,49.0,49.0,46.0,44.0,40.0,38.0
131,Italian Continuers,,scaled,31.7,8.6,50.0,50.0,42.4,38.1,31.3,26.9
132,Italian Extension,33,HSC,42.8,3.4,47.0,,,,,
133,Italian Extension,,scaled,39.9,5.0,50.0,,,,,
134,Japanese Beginners,636,HSC,35.0,8.1,48.5,48.0,44.5,41.0,36.0,29.5
135,Japanese Beginners,,scaled,23.2,11.7,47.7,47.1,38.7,32.6,23.3,13.8
136,Japanese Continuers,746,HSC,39.8,6.3,49.0,48.5,46.5,44.5,41.0,36.0
137,Japanese Continuers,,scaled,31.2,9.8,50.0,48.3,43.0,38.7,32.0,24.9
138,Japanese Extension,161,HSC,42.4,5.4,49.0,49.0,48.0,47.0,44.0,39.0
139,Japanese Extension,,scaled,38.0,6.1,50.0,48.8,45.9,42.3,38.2,34.7
140,Japanese in Context,44,HSC,43.3,3.1,47.5,47.5,46.0,45.5,44.0,41.5
141,Japanese in Context,,scaled,26.8,10.9,50.0,50.0,39.2,36.4,27.1,17.5
